sku,categories,name,url_key,description,short_description,product_type,additional_attributes,weight,product_websites,store_view_code,product_online,visibility,qty,is_in_stock,attribute_set_code,price,special_price,special_from_date,special_to_date,tax_class_name,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,additional_images,additional_image_labels,hide_from_product_page,configurable_variations,display_product_options_in
VT12-KH-M,Venia Catalog/Tops/Blouses & Shirts,Jillian Top,Jillian-Top,"<p>The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.  </p><p>Features:</p><ul><li>Crewneck</li><li>Capped sleeve</li><li>Sits on the hips</li><li>Longer back hemline</li><li>Machine wash, line dry</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=M,fashion_color=Khaki,fashion_style=Short Sleeve|Scoopneck,has_video=No,fashion_material=Cotton|Acrylic|Wool,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Fashion Tops,58,46,2/1/17,8/27/19,Taxable Goods,/v/t/vt12-kh-main.jpg,Main,/v/t/vt12-kh-main.jpg,Main,/v/t/vt12-kh-main.jpg,Main,,,,,Block after Info Column
VT12-KH-L,Venia Catalog/Tops/Blouses & Shirts,Jillian Top,Jillian-Top,"<p>The Jillian Top takes a wardrobe essential and kicks it up a notch with soft, heathered material and lace detail. Next time you feel like wearing a t-shirt, grab this instead. Comfort can look this good.  </p><p>Features:</p><ul><li>Crewneck</li><li>Capped sleeve</li><li>Sits on the hips</li><li>Longer back hemline</li><li>Machine wash, line dry</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=L,fashion_color=Khaki,fashion_style=Short Sleeve|Scoopneck,has_video=No,fashion_material=Cotton|Acrylic|Wool,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Fashion Tops,58,46,2/1/17,8/27/19,Taxable Goods,/v/t/vt12-kh-main.jpg,Main,/v/t/vt12-kh-main.jpg,Main,/v/t/vt12-kh-main.jpg,Main,,,,,Block after Info Column
VT11-RN-XS,Venia Catalog/Tops/Blouses & Shirts,Valeria Two-Layer Tank,Valeria-Two-Layer-Tank,"<p>The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition. </p><p>Features:</p><ul><li>Scoop neck</li><li>Sleeveless</li><li>Sits below the hips</li><li>Two layers</li><li>Machine wash, tumble dry low</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=XS,fashion_color=Rain,fashion_style=Sleeveless|Scoopneck,has_video=No,fashion_material=Cotton|Viscose,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Fashion Tops,68,,,,Taxable Goods,/v/t/vt11-rn-main.jpg,Main,/v/t/vt11-rn-main.jpg,Main,/v/t/vt11-rn-main.jpg,Main,,,,,Block after Info Column
VT11-RN-S,Venia Catalog/Tops/Blouses & Shirts,Valeria Two-Layer Tank,Valeria-Two-Layer-Tank,"<p>The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition. </p><p>Features:</p><ul><li>Scoop neck</li><li>Sleeveless</li><li>Sits below the hips</li><li>Two layers</li><li>Machine wash, tumble dry low</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=S,fashion_color=Rain,fashion_style=Sleeveless|Scoopneck,has_video=No,fashion_material=Cotton|Viscose,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Fashion Tops,68,,,,Taxable Goods,/v/t/vt11-rn-main.jpg,Main,/v/t/vt11-rn-main.jpg,Main,/v/t/vt11-rn-main.jpg,Main,,,,,Block after Info Column
VT11-RN-M,Venia Catalog/Tops/Blouses & Shirts,Valeria Two-Layer Tank,Valeria-Two-Layer-Tank,"<p>The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition. </p><p>Features:</p><ul><li>Scoop neck</li><li>Sleeveless</li><li>Sits below the hips</li><li>Two layers</li><li>Machine wash, tumble dry low</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=M,fashion_color=Rain,fashion_style=Sleeveless|Scoopneck,has_video=No,fashion_material=Cotton|Viscose,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Fashion Tops,68,,,,Taxable Goods,/v/t/vt11-rn-main.jpg,Main,/v/t/vt11-rn-main.jpg,Main,/v/t/vt11-rn-main.jpg,Main,,,,,Block after Info Column
VT11-RN-L,Venia Catalog/Tops/Blouses & Shirts,Valeria Two-Layer Tank,Valeria-Two-Layer-Tank,"<p>The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition. </p><p>Features:</p><ul><li>Scoop neck</li><li>Sleeveless</li><li>Sits below the hips</li><li>Two layers</li><li>Machine wash, tumble dry low</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=L,fashion_color=Rain,fashion_style=Sleeveless|Scoopneck,has_video=No,fashion_material=Cotton|Viscose,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Fashion Tops,68,,,,Taxable Goods,/v/t/vt11-rn-main.jpg,Main,/v/t/vt11-rn-main.jpg,Main,/v/t/vt11-rn-main.jpg,Main,,,,,Block after Info Column
VT11-MT-XS,Venia Catalog/Tops/Blouses & Shirts,Valeria Two-Layer Tank,Valeria-Two-Layer-Tank,"<p>The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition. </p><p>Features:</p><ul><li>Scoop neck</li><li>Sleeveless</li><li>Sits below the hips</li><li>Two layers</li><li>Machine wash, tumble dry low</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=XS,fashion_color=Mint,fashion_style=Sleeveless|Scoopneck,has_video=No,fashion_material=Cotton|Viscose,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Fashion Tops,68,,,,Taxable Goods,/v/t/vt11-mt-main.jpg,Main,/v/t/vt11-mt-main.jpg,Main,/v/t/vt11-mt-main.jpg,Main,,,,,Block after Info Column
VT11-MT-S,Venia Catalog/Tops/Blouses & Shirts,Valeria Two-Layer Tank,Valeria-Two-Layer-Tank,"<p>The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition. </p><p>Features:</p><ul><li>Scoop neck</li><li>Sleeveless</li><li>Sits below the hips</li><li>Two layers</li><li>Machine wash, tumble dry low</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=S,fashion_color=Mint,fashion_style=Sleeveless|Scoopneck,has_video=No,fashion_material=Cotton|Viscose,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Fashion Tops,68,,,,Taxable Goods,/v/t/vt11-mt-main.jpg,Main,/v/t/vt11-mt-main.jpg,Main,/v/t/vt11-mt-main.jpg,Main,,,,,Block after Info Column
VT11-MT-M,Venia Catalog/Tops/Blouses & Shirts,Valeria Two-Layer Tank,Valeria-Two-Layer-Tank,"<p>The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition. </p><p>Features:</p><ul><li>Scoop neck</li><li>Sleeveless</li><li>Sits below the hips</li><li>Two layers</li><li>Machine wash, tumble dry low</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=M,fashion_color=Mint,fashion_style=Sleeveless|Scoopneck,has_video=No,fashion_material=Cotton|Viscose,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Fashion Tops,68,,,,Taxable Goods,/v/t/vt11-mt-main.jpg,Main,/v/t/vt11-mt-main.jpg,Main,/v/t/vt11-mt-main.jpg,Main,,,,,Block after Info Column
VT11-MT-L,Venia Catalog/Tops/Blouses & Shirts,Valeria Two-Layer Tank,Valeria-Two-Layer-Tank,"<p>The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition. </p><p>Features:</p><ul><li>Scoop neck</li><li>Sleeveless</li><li>Sits below the hips</li><li>Two layers</li><li>Machine wash, tumble dry low</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=L,fashion_color=Mint,fashion_style=Sleeveless|Scoopneck,has_video=No,fashion_material=Cotton|Viscose,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Fashion Tops,68,,,,Taxable Goods,/v/t/vt11-mt-main.jpg,Main,/v/t/vt11-mt-main.jpg,Main,/v/t/vt11-mt-main.jpg,Main,,,,,Block after Info Column
VT11-LY-XS,Venia Catalog/Tops/Blouses & Shirts,Valeria Two-Layer Tank,Valeria-Two-Layer-Tank,"<p>The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition. </p><p>Features:</p><ul><li>Scoop neck</li><li>Sleeveless</li><li>Sits below the hips</li><li>Two layers</li><li>Machine wash, tumble dry low</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=XS,fashion_color=Lily,fashion_style=Sleeveless|Scoopneck,has_video=No,fashion_material=Cotton|Viscose,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Fashion Tops,68,,,,Taxable Goods,/v/t/vt11-ly-main.jpg,Main,/v/t/vt11-ly-main.jpg,Main,/v/t/vt11-ly-main.jpg,Main,,,,,Block after Info Column
VT11-LY-S,Venia Catalog/Tops/Blouses & Shirts,Valeria Two-Layer Tank,Valeria-Two-Layer-Tank,"<p>The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition. </p><p>Features:</p><ul><li>Scoop neck</li><li>Sleeveless</li><li>Sits below the hips</li><li>Two layers</li><li>Machine wash, tumble dry low</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=S,fashion_color=Lily,fashion_style=Sleeveless|Scoopneck,has_video=No,fashion_material=Cotton|Viscose,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Fashion Tops,68,,,,Taxable Goods,/v/t/vt11-ly-main.jpg,Main,/v/t/vt11-ly-main.jpg,Main,/v/t/vt11-ly-main.jpg,Main,,,,,Block after Info Column
VT11-LY-M,Venia Catalog/Tops/Blouses & Shirts,Valeria Two-Layer Tank,Valeria-Two-Layer-Tank,"<p>The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition. </p><p>Features:</p><ul><li>Scoop neck</li><li>Sleeveless</li><li>Sits below the hips</li><li>Two layers</li><li>Machine wash, tumble dry low</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=M,fashion_color=Lily,fashion_style=Sleeveless|Scoopneck,has_video=No,fashion_material=Cotton|Viscose,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Fashion Tops,68,,,,Taxable Goods,/v/t/vt11-ly-main.jpg,Main,/v/t/vt11-ly-main.jpg,Main,/v/t/vt11-ly-main.jpg,Main,,,,,Block after Info Column
VT11-LY-L,Venia Catalog/Tops/Blouses & Shirts,Valeria Two-Layer Tank,Valeria-Two-Layer-Tank,"<p>The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition. </p><p>Features:</p><ul><li>Scoop neck</li><li>Sleeveless</li><li>Sits below the hips</li><li>Two layers</li><li>Machine wash, tumble dry low</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=L,fashion_color=Lily,fashion_style=Sleeveless|Scoopneck,has_video=No,fashion_material=Cotton|Viscose,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Fashion Tops,68,,,,Taxable Goods,/v/t/vt11-ly-main.jpg,Main,/v/t/vt11-ly-main.jpg,Main,/v/t/vt11-ly-main.jpg,Main,,,,,Block after Info Column
VT11-LL-XS,Venia Catalog/Tops/Blouses & Shirts,Valeria Two-Layer Tank,Valeria-Two-Layer-Tank,"<p>The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition. </p><p>Features:</p><ul><li>Scoop neck</li><li>Sleeveless</li><li>Sits below the hips</li><li>Two layers</li><li>Machine wash, tumble dry low</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=XS,fashion_color=Lilac,fashion_style=Sleeveless|Scoopneck,has_video=No,fashion_material=Cotton|Viscose,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Fashion Tops,68,,,,Taxable Goods,/v/t/vt11-ll-main.jpg,Main,/v/t/vt11-ll-main.jpg,Main,/v/t/vt11-ll-main.jpg,Main,,,,,Block after Info Column
VT11-LL-S,Venia Catalog/Tops/Blouses & Shirts,Valeria Two-Layer Tank,Valeria-Two-Layer-Tank,"<p>The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition. </p><p>Features:</p><ul><li>Scoop neck</li><li>Sleeveless</li><li>Sits below the hips</li><li>Two layers</li><li>Machine wash, tumble dry low</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=S,fashion_color=Lilac,fashion_style=Sleeveless|Scoopneck,has_video=No,fashion_material=Cotton|Viscose,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Fashion Tops,68,,,,Taxable Goods,/v/t/vt11-ll-main.jpg,Main,/v/t/vt11-ll-main.jpg,Main,/v/t/vt11-ll-main.jpg,Main,,,,,Block after Info Column
VT11-LL-M,Venia Catalog/Tops/Blouses & Shirts,Valeria Two-Layer Tank,Valeria-Two-Layer-Tank,"<p>The Valeria Tank features two layers of possibility. The loose fit flatters without impacting comfort and the tiered material hangs beautifully. Wear alone or add a belt for a little more definition. </p><p>Features:</p><ul><li>Scoop neck</li><li>Sleeveless</li><li>Sits below the hips</li><li>Two layers</li><li>Machine wash, tumble dry low</li></ul>",,simple,"quantity_and_stock_status=In Stock,has_options=0,required_options=0,fashion_size=M,fashion_color=Lilac,fashion_style=Sleeveless|Scoopneck,has_video=No,fashion_material=Cotton|Viscose,in_store_available=Online Exclusive",1,base,,1,Not Visible Individually,1000,1,Fashion Tops,68,,,,Taxable Goods,/v/t/vt11-ll-main.jpg,Main,/v/t/vt11-ll-main.jpg,Main,/v/t/vt11-ll-main.jpg,Main,,,,,Block after Info Column
